category,Achilles,Alice,Ancient Leshen,Angel,Angel - Alt 1.0,Annie Christmas,Beowulf,Beowulf - Alt 1.0,Bigfoot,Bigfoot - Alt 1.0,Black Panther,Black Widow,Blackbeard,Bloody Mary,Bruce Lee,Buffy Giles,Buffy Giles - Alt 1.0,Buffy Xander,Buffy Xander - Alt 1.0,Bullseye,Bullseye - Alt 1.0,Chupacabra,Ciri,Cloak & Dagger,Cloak & Dagger - Alt 1.0,Daredevil,Deadpool,Doctor Strange,Donatello,Dr. Jill Trent,Dr. Sattler,Dracula,Elektra,Eredin,Geralt of Rivia,Ghost Rider,Golden Bat,Hamlet,Houdini,InGen,Invisible Man,Invisible Man - Alt 1.0,Jekyll & Hyde,King Arthur,King Arthur - Alt 1.0,Krang,Leonardo,Little Red Riding Hood,Loki,Luke Cage,Martian Invader,Medusa,Michelangelo,Moon Knight,Mothman,Ms. Marvel,Muhammad Ali,Nikola Tesla,Oda Nobunaga,Pandora,Philippa,Raphael,Raptors,Robin Hood,Robin Hood - Alt 1.0,Shakespeare,She-Hulk,Sherlock Holmes,Shredder,Sinbad,Spider-Man,Spike,Squirrel Girl,Sun Wukong,T. Rex,The Genie,The Wayward Sisters,Titania,Tomoe Gozen,Triss,Willow,Winter Soldier,Yennefer,Yennenga
Achilles,-2,29,52,0,-2,40,37,-2,54,-2,43,43,52,28,34,40,-2,11,-2,49,-2,15,54,44,-2,30,100,54,-2,49,44,51,83,56,28,20,53,42,44,88,47,-2,0,39,-2,0,-2,39,22,43,-2,84,-2,42,-2,0,-2,42,23,37,38,0,38,42,-2,24,45,73,-2,36,43,0,25,78,42,15,35,38,35,56,33,25,41,58
Alice,71,-2,50,0,-2,63,49,-2,69,-2,48,41,45,35,42,33,-2,40,-2,38,-2,44,83,35,-2,43,11,100,50,50,51,67,100,100,37,62,52,40,75,73,64,-2,52,33,-2,67,100,44,78,53,-2,74,14,55,-2,29,100,64,50,64,29,50,62,47,-2,59,44,63,60,45,75,25,33,91,45,44,33,50,50,-2,0,43,100,63
Ancient Leshen,48,50,-2,0,-2,38,50,-2,42,-2,75,35,67,40,67,100,-2,-2,-2,100,-2,60,44,-2,-2,73,0,60,50,46,0,39,75,44,58,75,60,50,83,29,100,-2,-2,0,-2,100,50,61,40,61,-2,53,0,38,-2,100,-2,76,100,50,56,-2,64,50,-2,80,38,33,100,40,33,-2,0,57,94,48,64,53,57,67,-2,38,56,84
Angel,100,100,100,-2,-2,-2,100,-2,40,-2,-2,-2,-2,83,100,71,-2,80,-2,86,-2,-2,100,67,-2,0,64,-2,100,100,100,67,-2,-2,-2,67,100,0,100,100,50,-2,73,56,-2,-2,-2,0,100,54,-2,-2,-2,0,-2,-2,-2,33,67,0,38,-2,75,88,-2,50,-2,67,-2,75,100,43,57,-2,-2,67,0,0,100,-2,50,-2,100,100
Angel - Alt 1.0,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,50,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,50,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2
Annie Christmas,60,37,62,-2,-2,-2,41,-2,45,-2,62,39,67,40,33,33,-2,33,-2,37,-2,-2,50,38,-2,35,-2,50,100,70,57,60,100,78,51,36,47,29,71,75,65,-2,40,0,-2,-2,100,33,100,39,-2,69,-2,36,-2,22,50,57,0,0,20,-2,72,19,-2,37,60,72,-2,49,25,0,50,90,40,61,61,56,33,50,100,13,100,67
Beowulf,63,51,50,0,-2,59,-2,-2,63,-2,85,38,-2,49,54,0,-2,33,-2,30,-2,0,-2,41,-2,72,100,100,-2,80,48,33,100,50,61,25,100,11,57,74,35,-2,56,45,-2,50,-2,59,0,57,-2,89,-2,65,-2,71,-2,100,20,-2,-2,100,85,49,-2,47,67,79,-2,83,20,50,0,80,71,31,0,100,50,-2,0,71,100,85
Beowulf - Alt 1.0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,50,-2,-2,-2,0,-2,-2,-2,50,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2
Bigfoot,46,31,58,60,-2,55,37,-2,-2,-2,42,13,77,44,23,33,-2,40,-2,15,-2,43,53,100,-2,8,20,51,0,61,0,51,92,61,38,45,54,33,35,63,32,-2,20,18,-2,-2,100,54,86,26,-2,66,-2,48,-2,14,0,32,0,17,0,0,26,30,-2,38,46,78,-2,23,43,50,33,82,39,14,30,22,32,67,25,18,62,62
Bigfoot - Alt 1.0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,20,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,50,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,40,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
Black Panther,57,52,25,-2,-2,38,15,-2,58,-2,-2,56,50,33,39,13,-2,50,-2,5,-2,50,50,60,-2,42,0,76,-2,55,17,35,50,64,75,31,89,32,35,62,50,-2,0,100,-2,-2,-2,30,-2,66,-2,78,100,65,-2,65,-2,66,67,100,50,100,81,16,-2,57,78,82,-2,59,57,100,67,56,43,48,0,43,61,-2,-2,62,78,45
Black Widow,57,59,65,-2,-2,61,62,-2,88,-2,44,-2,71,60,67,-2,-2,-2,-2,41,-2,-2,100,40,-2,33,-2,50,-2,62,45,58,80,100,38,80,86,56,73,61,0,-2,33,60,-2,-2,-2,75,100,80,-2,58,-2,73,-2,22,-2,74,40,67,0,-2,49,44,-2,45,78,68,-2,66,47,-2,-2,51,85,45,64,39,71,80,-2,48,50,47
Blackbeard,48,55,33,-2,-2,33,-2,-2,23,-2,50,29,-2,0,45,-2,-2,-2,-2,56,-2,46,44,33,-2,36,0,55,-2,38,-2,0,67,80,25,0,62,50,63,0,0,-2,-2,18,-2,100,100,18,42,75,-2,36,-2,23,-2,100,-2,63,0,35,100,-2,60,40,-2,50,-2,50,-2,54,100,-2,-2,57,-2,54,0,14,45,-2,0,100,56,41
Bloody Mary,72,65,60,17,-2,60,51,-2,56,-2,67,40,100,-2,79,0,-2,40,-2,46,-2,67,100,33,-2,50,35,50,-2,90,93,74,67,78,58,42,66,40,89,72,44,-2,39,31,-2,-2,-2,38,86,80,-2,80,0,81,-2,36,-2,75,56,36,56,-2,80,41,-2,50,75,100,100,71,17,50,65,82,100,48,50,25,42,100,0,100,100,47
Bruce Lee,66,58,33,0,-2,67,46,-2,77,-2,61,33,55,21,-2,25,-2,54,-2,40,-2,63,47,45,-2,42,20,25,100,58,67,64,78,41,50,42,67,25,55,76,28,-2,64,18,-2,-2,100,57,54,74,-2,68,-2,65,-2,33,50,32,0,67,42,-2,43,51,-2,50,67,80,-2,45,52,33,39,39,41,43,47,100,44,100,0,25,50,42
Buffy Giles,60,67,0,29,-2,67,100,-2,67,-2,88,-2,-2,100,75,-2,-2,0,-2,45,-2,-2,-2,67,-2,67,100,100,-2,100,57,75,75,-2,50,60,-2,67,0,50,48,-2,45,25,-2,-2,-2,86,-2,75,-2,100,-2,100,-2,100,100,-2,50,-2,-2,-2,60,59,-2,0,-2,100,-2,100,75,0,67,33,67,0,-2,100,100,-2,33,100,-2,50
Buffy Giles - Alt 1.0,-2,-2,-2,-2,-2,-2,-2,50,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
Buffy Xander,89,60,-2,20,-2,67,67,-2,60,-2,50,-2,-2,60,46,100,-2,-2,-2,47,-2,-2,-2,38,-2,50,50,-2,-2,-2,100,100,100,100,-2,-2,100,25,-2,67,60,-2,67,33,-2,-2,-2,67,100,100,-2,100,-2,0,-2,33,-2,100,29,-2,100,-2,31,39,-2,0,-2,67,-2,60,27,50,0,100,100,0,100,0,-2,-2,0,0,-2,67
Buffy Xander - Alt 1.0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,33,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,50,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
Bullseye,51,63,0,14,-2,63,70,-2,85,-2,95,59,44,54,60,55,-2,53,-2,-2,-2,80,54,59,-2,48,25,33,-2,100,75,59,67,41,0,46,35,67,78,17,12,-2,67,43,-2,-2,100,85,100,92,-2,55,-2,73,-2,70,0,73,50,50,67,0,55,49,-2,67,67,63,-2,78,57,100,33,69,88,68,50,57,74,-2,0,57,100,38
Bullseye - Alt 1.0,-2,-2,-2,-2,0,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,50,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,25,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2
Chupacabra,85,56,40,-2,-2,-2,100,-2,57,-2,50,-2,54,33,38,-2,-2,-2,-2,20,-2,-2,69,100,-2,80,-2,86,67,59,100,83,100,50,50,-2,50,-2,50,57,60,-2,20,29,-2,67,63,42,58,0,-2,65,30,56,-2,100,33,75,0,53,100,50,33,50,-2,0,100,100,60,38,100,-2,-2,81,100,73,0,25,42,43,-2,0,42,63
Ciri,46,17,56,0,-2,50,-2,-2,48,-2,50,0,56,0,53,-2,-2,-2,-2,46,-2,31,-2,59,-2,30,-2,50,0,64,0,21,100,46,39,0,76,100,73,0,100,-2,100,100,-2,-2,0,62,33,38,-2,69,-2,45,-2,100,50,32,0,40,26,50,62,33,-2,0,75,100,0,40,0,-2,-2,64,63,38,100,20,59,55,-2,67,65,36
Cloak & Dagger,56,65,-2,33,-2,62,61,-2,0,-2,40,60,67,67,55,33,-2,62,-2,41,-2,0,41,-2,-2,0,14,0,-2,100,46,56,100,0,78,62,100,29,0,-2,75,-2,35,25,-2,-2,-2,70,0,78,-2,80,-2,100,-2,42,100,65,0,100,100,-2,50,38,-2,53,-2,50,-2,42,44,100,29,100,25,53,100,100,33,-2,-2,50,33,56
Cloak & Dagger - Alt 1.0,-2,-2,-2,-2,0,-2,-2,50,-2,80,-2,-2,-2,-2,-2,-2,-2,-2,67,-2,50,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,67,-2,-2,50,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,25,-2,-2,-2,-2,-2
Daredevil,70,57,27,100,-2,65,28,-2,92,-2,58,67,64,50,58,33,-2,50,-2,52,-2,20,70,100,-2,-2,50,59,-2,19,38,68,50,53,63,48,76,0,61,69,0,-2,60,14,-2,100,-2,55,83,64,-2,49,0,62,-2,60,-2,81,40,0,54,50,80,56,-2,39,57,100,-2,65,29,-2,0,33,50,73,31,50,82,25,50,48,43,37
Deadpool,0,89,100,36,-2,-2,0,-2,80,-2,100,-2,100,65,80,0,-2,50,-2,75,-2,-2,-2,86,-2,50,-2,50,-2,0,100,-2,0,0,100,0,100,0,-2,100,32,-2,33,26,-2,-2,-2,-2,50,-2,-2,-2,50,78,-2,100,-2,-2,89,-2,50,-2,33,67,-2,100,100,50,-2,100,30,50,38,-2,100,29,33,-2,50,-2,50,75,100,0
Doctor Strange,46,0,40,-2,-2,50,0,-2,49,-2,24,50,45,50,75,0,-2,-2,-2,67,-2,14,50,100,-2,41,50,-2,-2,36,0,36,31,50,-2,67,52,0,47,50,0,-2,-2,-2,-2,-2,-2,17,56,33,-2,49,-2,58,-2,33,-2,68,0,25,100,-2,0,13,-2,50,43,62,-2,17,15,-2,50,21,75,25,0,62,46,0,-2,37,25,59
Donatello,-2,50,50,0,-2,0,-2,-2,100,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,33,100,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,50,57,100,0,-2,-2,-2,14,0,-2,-2,40,33,-2,-2,0,70,-2,100,-2,-2,-2,-2,55,-2,-2,-2,-2,-2,-2,100,100,100,43,-2,-2,-2,-2,-2
Dr. Jill Trent,51,50,54,0,-2,30,20,-2,39,-2,45,38,62,10,42,0,-2,-2,-2,0,-2,41,36,0,-2,81,100,64,-2,-2,10,30,67,41,15,65,64,30,50,31,-2,-2,0,0,-2,-2,100,68,53,60,-2,51,-2,27,-2,50,-2,58,50,43,0,-2,61,16,-2,17,56,20,-2,48,0,-2,0,62,56,24,33,38,57,57,-2,50,54,51
Dr. Sattler,56,49,100,0,-2,43,52,-2,100,-2,83,55,-2,7,33,43,-2,0,-2,25,-2,0,100,54,-2,63,0,100,-2,90,-2,90,100,88,0,33,100,0,31,56,47,-2,50,0,-2,-2,-2,20,0,48,-2,100,-2,45,-2,18,-2,88,0,-2,63,-2,63,37,-2,100,100,64,-2,51,57,0,0,69,31,30,38,43,62,-2,-2,60,-2,40
Dracula,49,33,61,33,-2,40,67,-2,49,-2,65,42,100,26,36,25,-2,0,-2,41,-2,17,79,44,-2,32,-2,64,0,70,10,-2,64,62,66,38,72,0,53,59,39,-2,26,21,-2,-2,-2,38,50,41,-2,59,-2,67,-2,31,0,88,11,60,44,-2,52,48,-2,13,80,69,0,25,30,0,0,72,79,59,67,40,65,100,0,35,44,82
Elektra,17,0,25,-2,-2,0,0,-2,8,-2,50,20,33,33,22,25,-2,0,-2,33,-2,0,0,0,-2,50,100,69,-2,33,0,36,-2,0,-2,47,50,0,33,18,0,-2,0,33,-2,-2,-2,61,-2,69,-2,40,-2,27,-2,20,0,50,-2,0,0,-2,5,21,-2,33,44,65,-2,24,100,50,100,14,15,50,-2,0,0,0,-2,40,20,17
Eredin,44,0,56,-2,-2,22,50,-2,39,-2,36,0,20,22,59,-2,-2,0,-2,59,-2,50,54,100,-2,47,100,50,-2,59,12,38,100,-2,51,-2,60,0,37,60,-2,-2,-2,0,-2,-2,-2,38,67,47,-2,61,0,0,-2,0,-2,44,-2,33,31,0,0,41,-2,75,29,100,0,33,25,-2,100,88,63,49,40,42,33,59,-2,33,54,59
Geralt of Rivia,72,63,42,-2,-2,49,39,-2,63,-2,25,62,75,42,50,50,-2,-2,-2,100,-2,50,61,22,-2,38,0,-2,100,85,100,34,-2,49,-2,38,63,100,40,52,29,-2,50,36,-2,-2,-2,36,40,44,-2,75,-2,53,-2,33,-2,70,100,0,38,-2,71,40,-2,32,50,100,-2,80,10,-2,100,67,42,63,53,53,47,63,-2,0,39,60
Ghost Rider,80,38,25,33,-2,64,75,-2,55,-2,69,20,100,58,58,40,-2,-2,-2,54,-2,-2,100,38,-2,52,100,33,-2,35,67,63,53,-2,63,-2,42,67,83,73,86,-2,50,83,-2,-2,-2,62,-2,61,-2,51,-2,83,-2,56,-2,86,100,-2,-2,-2,55,0,-2,100,92,89,-2,50,0,0,33,50,96,69,100,67,85,-2,0,58,50,63
Golden Bat,47,48,40,0,-2,53,0,-2,46,-2,11,14,38,34,33,-2,-2,0,-2,65,-2,50,24,0,-2,24,0,48,-2,36,0,28,50,40,38,58,-2,33,72,19,0,-2,14,17,-2,0,-2,43,50,60,-2,33,-2,30,-2,50,-2,47,0,67,20,100,59,37,-2,13,22,38,-2,56,25,50,100,70,57,21,67,33,61,0,-2,78,27,23
Hamlet,58,60,50,100,-2,71,89,-2,67,-2,68,44,50,60,75,33,-2,75,-2,33,-2,-2,0,71,-2,100,100,100,-2,70,100,100,100,100,0,33,67,-2,100,-2,50,-2,75,100,-2,-2,-2,64,60,80,-2,50,67,70,-2,63,-2,33,86,100,100,-2,73,64,-2,35,100,100,0,66,55,0,0,-2,100,100,67,60,25,67,-2,50,-2,50
Houdini,56,25,17,0,50,29,43,0,65,100,65,27,38,11,45,100,0,-2,50,22,-2,50,27,100,33,39,-2,53,-2,50,69,47,67,63,60,17,28,0,-2,13,0,0,33,50,33,-2,-2,30,33,36,-2,76,-2,42,-2,0,-2,26,40,50,27,-2,33,63,-2,56,71,37,-2,35,25,0,100,51,54,50,42,40,35,18,0,7,18,53
